frame,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p19_x,p19_y
0,8.74,-0.04,7.53,-0.14,5.13,0.1,6.17,0.04,4.17,0.03,-1.6799999475479126,0.30000001192092896,2.3,0.04,11.39,5.05,7.52,-1.04,0.7799999713897705,0.009999999776482582,3.13,0.11,,,,,,,,,,
1,8.74,-0.04,7.52,-0.13,5.13,0.1,6.17,0.04,4.17,0.03,-1.6799999475479126,0.30000001192092896,2.3,0.04,11.37,5.05,7.51,-1.05,0.8199999928474426,0.0,3.13,0.12,,,,,,,,,,
2,8.74,-0.04,7.52,-0.13,5.13,0.1,6.17,0.04,4.17,0.03,-1.6799999475479126,0.30000001192092896,2.31,0.04,11.38,5.07,7.51,-1.05,0.8199999928474426,-0.0,3.12,0.12,,,,,,,,,,
3,8.74,-0.04,7.53,-0.12,5.13,0.1,6.18,0.04,4.17,0.03,-1.6699999570846558,0.30000001192092896,2.3,0.05,11.37,5.07,7.5,-1.05,0.8299999833106995,-0.0,3.13,0.12,,,,,,,,,,
4,8.74,-0.04,7.52,-0.1,5.14,0.1,6.18,0.04,4.16,0.03,-1.6699999570846558,0.28999999165534973,2.31,0.06,11.36,5.06,7.5,-1.05,0.8500000238418579,-0.009999999776482582,3.12,0.13,,,,,,,,,,
5,8.74,-0.04,7.51,-0.07,5.15,0.1,6.18,0.04,4.16,0.03,-1.6699999570846558,0.28999999165534973,2.31,0.06,11.35,5.06,7.5,-1.05,0.8299999833106995,0.0,3.12,0.13,,,,,,,,,,
6,8.74,-0.04,7.51,-0.06,5.14,0.09,6.18,0.04,4.16,0.04,-1.6699999570846558,0.28999999165534973,2.32,0.06,11.34,5.05,7.49,-1.05,0.8399999737739563,-0.0,3.11,0.13,,,,,,,,,,
7,8.74,-0.04,7.51,-0.06,5.15,0.09,6.19,0.05,4.16,0.04,-1.6799999475479126,0.28999999165534973,2.33,0.06,11.33,5.05,7.49,-1.05,0.8199999928474426,0.009999999776482582,3.12,0.13,,,,,,,,,,
8,8.74,-0.04,7.51,-0.06,5.15,0.1,6.19,0.05,4.15,0.04,-1.7000000476837158,0.30000001192092896,2.33,0.06,11.32,5.04,7.49,-1.05,0.8100000023841858,0.029999999329447746,3.12,0.13,,,,,,,,,,
9,8.74,-0.04,7.51,-0.06,5.15,0.1,6.19,0.04,4.15,0.04,-1.7200000286102295,0.3100000023841858,2.34,0.06,11.32,5.04,7.48,-1.05,0.7799999713897705,0.03999999910593033,3.12,0.13,,,,,,,,,,
