frame,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p19_x,p19_y
0,91.34,-2.26,78.7,-3.34,53.48,0.24,64.46,-0.77,43.19,-0.49,-20.600000381469727,4.230000019073486,23.14,0.01,119.84,65.62,78.57,-15.23,6.670000076293945,-0.10999999940395355,32.11,0.78,,,,,,,,,,
1,91.31,-2.27,78.63,-3.16,53.45,0.24,64.47,-0.73,43.19,-0.49,-20.639999389648438,4.21999979019165,23.14,0.01,119.67,65.61,78.51,-15.24,7.019999980926514,-0.2800000011920929,32.06,0.83,,,,,,,,,,
2,91.34,-2.26,78.68,-3.16,53.48,0.2,64.47,-0.73,43.23,-0.53,-20.639999389648438,4.21999979019165,23.21,0.02,119.72,65.79,78.48,-15.25,7.090000152587891,-0.3199999928474426,32.01,0.87,,,,,,,,,,
3,91.34,-2.26,78.7,-3.15,53.48,0.2,64.52,-0.72,43.23,-0.53,-20.479999542236328,4.170000076293945,23.16,0.12,119.66,65.78,78.42,-15.26,7.210000038146973,-0.36000001430511475,32.06,0.83,,,,,,,,,,
4,91.36,-2.26,78.63,-2.78,53.51,0.2,64.58,-0.71,43.12,-0.46,-20.520000457763672,4.170000076293945,23.2,0.17,119.55,65.77,78.38,-15.26,7.429999828338623,-0.4399999976158142,31.94,0.96,,,,,,,,,,
5,91.36,-2.26,78.56,-2.43,53.66,0.18,64.56,-0.68,43.12,-0.46,-20.520000457763672,4.170000076293945,23.24,0.23,119.5,65.77,78.36,-15.25,7.199999809265137,-0.3100000023841858,31.94,0.96,,,,,,,,,,
6,91.36,-2.26,78.53,-2.34,53.6,0.17,64.59,-0.67,43.08,-0.42,-20.559999465942383,4.159999847412109,23.34,0.19,119.34,65.58,78.33,-15.27,7.28000020980835,-0.3499999940395355,31.89,1.0,,,,,,,,,,
7,91.36,-2.26,78.55,-2.3,53.63,0.18,64.64,-0.67,43.08,-0.42,-20.610000610351562,4.150000095367432,23.44,0.2,119.29,65.58,78.28,-15.26,7.079999923706055,-0.1599999964237213,31.94,0.96,,,,,,,,,,
8,91.34,-2.26,78.53,-2.24,53.66,0.18,64.67,-0.66,43.05,-0.42,-20.84000015258789,4.269999980926514,23.45,0.26,119.18,65.39,78.25,-15.27,6.900000095367432,0.09000000357627869,31.94,0.96,,,,,,,,,,
9,91.33,-2.29,78.53,-2.24,53.66,0.18,64.72,-0.69,43.05,-0.42,-21.1299991607666,4.369999885559082,23.55,0.27,119.13,65.39,78.19,-15.26,6.630000114440918,0.27000001072883606,31.91,0.95,,,,,,,,,,
10,91.31,-2.3,78.54,-2.27,53.63,0.13,64.75,-0.69,43.08,-0.42,-21.31999969482422,4.489999771118164,23.58,0.27,119.08,65.21,78.15,-15.26,6.880000114440918,0.36000001430511475,31.69,0.97,,,,,,,,,,
11,91.31,-2.33,78.54,-2.27,53.69,0.14,64.76,-0.65,43.05,-0.42,-21.56999969482422,4.599999904632568,23.58,0.27,119.03,65.2,78.11,-15.27,7.210000038146973,0.28999999165534973,31.71,0.93,,,,,,,,,,
12,91.33,-2.32,78.54,-2.27,53.72,0.15,64.73,-0.65,43.09,-0.46,-21.979999542236328,4.769999980926514,23.52,0.27,119.12,65.56,78.09,-15.26,7.429999828338623,0.3199999928474426,31.72,0.88,,,,,,,,,,
13,91.33,-2.32,78.51,-2.34,53.72,0.15,64.68,-0.62,43.12,-0.46,-22.389999389648438,4.929999828338623,23.48,0.26,119.11,65.74,78.05,-15.26,7.5,0.38999998569488525,31.81,0.84,,,,,,,,,,
14,91.33,-2.32,78.47,-2.38,53.63,0.13,64.65,-0.63,43.09,-0.46,-22.6299991607666,5.039999961853027,23.45,0.26,119.05,65.73,78.01,-15.27,7.840000152587891,0.3199999928474426,31.81,0.84,,,,,,,,,,
15,91.31,-2.33,78.41,-2.36,53.69,0.14,64.66,-0.7,43.12,-0.46,-22.799999237060547,5.099999904632568,23.38,0.25,119.19,66.28,77.97,-15.27,8.180000305175781,0.20000000298023224,31.81,0.84,,,,,,,,,,
16,91.31,-2.33,78.28,-2.18,53.69,0.14,64.66,-0.7,43.16,-0.5,-22.84000015258789,5.090000152587891,23.4,0.2,119.13,66.27,77.94,-15.28,8.050000190734863,0.3499999940395355,31.81,0.84,,,,,,,,,,
17,91.29,-2.33,78.19,-2.06,53.69,0.14,64.69,-0.81,43.16,-0.5,-22.889999389648438,5.090000152587891,23.46,0.11,119.08,66.27,77.92,-15.28,8.15999984741211,0.3700000047683716,31.81,0.84,,,,,,,,,,
18,91.29,-2.36,78.12,-2.0,53.69,0.14,64.69,-0.81,43.23,-0.53,-22.93000030517578,5.079999923706055,23.54,0.02,118.99,65.9,77.9,-15.29,8.270000457763672,0.4300000071525574,31.84,0.85,,,,,,,,,,
19,91.29,-2.33,78.08,-1.94,53.69,0.14,64.69,-0.81,43.19,-0.54,-22.969999313354492,5.070000171661377,23.51,0.01,118.96,66.26,77.86,-15.29,8.229999542236328,0.47999998927116394,31.82,0.89,,,,,,,,,,
